type,capacity,name,price,score,avg_review,reviews_count
Apartamentos,79.0,ISA Granada,US$331,"8.6
Scored 8.6",Excellent,"2,580"
Apartamentos,79.0,Be Suites Centro,US$249,"8.3
Scored 8.3",Very Good,940
Apartamentos,79.0,Suites 18,US$413,"9.1
Scored 9.1",Wonderful,35
Apartamentos,79.0,ADANAR-Las Columnas,US$291,"8.6
Scored 8.6",Excellent,"1,375"
Apartamentos,79.0,limehome Granada Calle Santa Ana,US$314,"8.8
Scored 8.8",Excellent,"1,761"
Apartamentos,79.0,Central Deluxe Apartments by Apolo Homes,US$513,"9.0
Scored 9.0",Wonderful,119
Apartamentos,79.0,Apartamentos Boutique Granada 3000,US$322,"8.4
Scored 8.4",Very Good,"1,093"
Apartamentos,79.0,C&V Apartamentos - Horno de Marina,US$274,"8.3
Scored 8.3",Very Good,"1,257"
Apartamentos,79.0,PATIOdeLUZ - Stylish apartments in Párraga 13,US$399,"9.5
Scored 9.5",Exceptional,464
Apartamentos,79.0,Apartamentos Montesclaros,US$308,"8.9
Scored 8.9",Excellent,665
Apartamentos,79.0,Bib Rambla Luxury Apartments by Apolo Homes,US$589,"9.4
Scored 9.4",Wonderful,250
Apartamentos,79.0,Apartamentos Luna Suites Granada,US$369,"9.2
Scored 9.2",Wonderful,74
Apartamentos,79.0,"Palacete 1620, Premium Suites, Only adults",US$669,"9.3
Scored 9.3",Wonderful,784
Apartamentos,79.0,Apartamentos Turísticos Las Nieves,US$316,"8.7
Scored 8.7",Excellent,925
Apartamentos,79.0,Apartamentos Campo Del Príncipe,US$284,"8.8
Scored 8.8",Excellent,"1,668"
Apartamentos,79.0,HNN GRANADA,US$409,"9.7
Scored 9.7",Exceptional,473
Apartamentos,79.0,Be Free Granada,US$257,"8.2
Scored 8.2",Very Good,"3,331"
Apartamentos,79.0,U-Sense Granada Catedral,US$454,"9.1
Scored 9.1",Wonderful,887
Apartamentos,79.0,BiBo Suites Plaza Nueva,US$420,"9.2
Scored 9.2",Wonderful,"2,884"
Apartamentos,79.0,Apartamento Las Mil y Una Noches,US$254,"8.0
Scored 8.0",Very Good,3
Apartamentos,79.0,Luxury Alhambra Penthouse Collection,US$442,"8.6
Scored 8.6",Excellent,643
Apartamentos,79.0,AiA EXCLUSIVE APARTMENTS,US$282,"9.2
Scored 9.2",Wonderful,288
Apartamentos,79.0,Tina Home,US$483,"8.9
Scored 8.9",Excellent,505
Apartamentos,79.0,Mosaiko Homes Catedral Granada,US$516,"9.5
Scored 9.5",Exceptional,"1,015"
Apartamentos,79.0,Granada Luxury Apartments by Apolo Homes,US$452,"9.0
Scored 9.0",Wonderful,492
Hotel,94.0,Boutique Hotel Luna Granada Centro,US$509,"9.1
Scored 9.1",Wonderful,"1,037"
Hotel,94.0,Meliá Granada,US$717,"8.2
Scored 8.2",Very Good,"1,953"
Hotel,94.0,Hotel Macià Monasterio de los Basilios,US$248,"8.1
Scored 8.1",Very Good,"2,708"
Hotel,94.0,Áurea Washington Irving by Eurostars Hotel Company,US$442,"8.9
Scored 8.9",Excellent,"2,629"
Hotel,94.0,Hotel Macià Granada Five Senses Rooms & Suites,US$315,"8.6
Scored 8.6",Excellent,"4,683"
Hotel,94.0,Áurea Catedral by Eurostars Hotel Company,US$470,"9.2
Scored 9.2",Wonderful,"5,624"
Hotel,94.0,Vincci Albayzin,US$371,"8.5
Scored 8.5",Very Good,"5,360"
Hotel,94.0,Eurostars Puerta Real,US$371,"8.9
Scored 8.9",Excellent,"4,056"
Hotel,94.0,Porcel Alixares,US$275,"8.4
Scored 8.4",Very Good,"9,280"
Hotel,94.0,Hotel Saray,US$285,"8.4
Scored 8.4",Very Good,"9,655"
Hotel,94.0,Room Mate Leo,US$357,"8.8
Scored 8.8",Excellent,"4,316"
Hotel,94.0,Barceló Carmen Granada,US$387,"9.0
Scored 9.0",Wonderful,"1,174"
Hotel,94.0,Catalonia Granada,US$309,"8.9
Scored 8.9",Excellent,"4,054"
Hotel,94.0,Hotel Abades Recogidas,US$286,"8.1
Scored 8.1",Very Good,"2,069"
Hotel,94.0,Porcel Navas,US$299,"8.7
Scored 8.7",Excellent,"2,145"
Hotel,94.0,Hotel Granada Center,US$351,"9.1
Scored 9.1",Wonderful,"8,515"
Hotel,94.0,Hotel Cedran,US$206,"7.8
Scored 7.8",Good,"2,088"
Hotel,94.0,Hotel Sacromonte,US$249,"8.5
Scored 8.5",Very Good,"3,126"
Hotel,94.0,Hotel Monasterio Granada - Adults Only,US$211,"6.9
Scored 6.9",Review score,"3,944"
Hotel,94.0,Hotel Macià Plaza,US$277,"8.3
Scored 8.3",Very Good,"1,684"
Hotel,94.0,Crisol Guadalupe,US$255,"8.5
Scored 8.5",Very Good,"4,696"
Hotel,94.0,Hotel Molinos,US$210,"8.0
Scored 8.0",Very Good,"2,691"
Hotel,94.0,Eurostars Gran Via,US$442,"8.6
Scored 8.6",Excellent,"2,149"
Hotel,94.0,Gran Hotel Luna de Granada,US$360,"8.5
Scored 8.5",Very Good,"9,442"
